,skblid,description,detail,occupationtype,from,place
23,MartaAfzelius,Formgivare,"Formgivare, Alice Lund Textilier AB",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
24,KarinAgeman,Lärare,"Lärare i reklam- och bokkonst, Konstfackskolan",Yrke,"{'comment': '1945', 'date': '1945'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
25,AnnaAgner,Konstnär,Konstnär,Yrke,{'comment': '1920-talet'},
26,AnnaBrittAgnsater,Chef,"Chef, KF Provkök",Yrke,"{'comment': '1946', 'date': '1946'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
27,AlfhildAgrell,Författare,,Yrke,,
28,AnnaAgriconia,Författare,Brev- och dagboksskrivare,Yrke,"{'comment': '1684', 'date': '1684'}","{'pin': {'lat': '39.074208', 'lon': '21.824312'}, 'place': 'Grekland'}"
29,LeaAhlborn,Gravör,"Myntgravör, Kungliga Myntverket",Yrke,{'date': '1855'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
30,CatharinaAhlgren,Översättare,,Yrke,"{'comment': '1772', 'date': '1772'}",
31,GunnelMariaAhlin,Författare,Författare,Yrke,"{'comment': '1960', 'date': '1960'}",
32,GerdaAhlm,Konservator,"Konservator, Art Institute of Chicago",Yrke,,"{'pin': {'lat': 41.878114, 'lon': -87.629798}, 'place': 'Chicago, USA'}"
33,AnnaAhlstrom,Skolledare,"Skolföreståndare, Nya elementarskolan för flickor (Ahlströmska skolan)",Yrke,"{'comment': '1902', 'date': '1902'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
34,AstridAhnfelt,Journalist,,Yrke,"{'comment': '1898', 'date': '1898'}","{'pin': {'lat': '41.902701', 'lon': '12.496235'}, 'place': 'Rom, Italien'}"
35,ClaraFredrikaChristinaAhnfelt,Författare,Psalmförfattare,Yrke,"{'comment': '1859', 'date': '1859'}","{'pin': {'lat': 56.170303, 'lon': 14.863073}, 'place': 'Karlshamn'}"
36,HildaHenriettaAhnfelt,"Företagare, fabrikör","Grundare och innehavare, Stockholms Plymfabrik",Yrke,"{'comment': '1879', 'date': '1879'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
37,AnnaAhrenberg,Donator,"Donator, bl a till Göteborgs högskola",Ideellt arbete,,"{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
38,KarinAhrland,Tjänsteman,"Introduktör av främmande sändebud, Utrikesdepartementet",Yrke,"{'comment': '1995', 'date': '1995'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
39,ErikaAittamaa,Företagare,"Stickare, framför allt vantar, uppfinnare av Lovikkavanten, senare vantfabrikör",Yrke,{'comment': '1890-talet'},"{'pin': {'lat': 67.3403184, 'lon': 22.6105034}, 'place': 'Lovikka'}"
40,LissiAlandh,Skådespelare,,Yrke,"{'comment': '1952', 'date': '1952'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
41,ElsieAlbiin,Teaterdirektör,"Grundare, föreståndare, Det Engelske Teater",Yrke,{'comment': '1960-talet'},"{'pin': {'lat': 55.676097, 'lon': 12.568337}, 'place': 'Köpenhamn, Danmark'}"
42,MargitMabelGeorginaAlbins,Tjänsteman,Anställd vid Amerikanska ambassaden i Stockholm,Yrke,"{'comment': '1942', 'date': '1942'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
43,EvaAlexanderson,Författare,Författare,Yrke,"{'comment': '1954', 'date': '1954'}",
44,VeraAlexandrova,Författare,"Författare, även danskritiker, Scenen",Yrke,{'comment': '1920-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
45,BirgittaAlexius0,Kommun- och landstingspolitiker,"Suppleant, Stockholms socialnämnd 1981–1985; ledamot, Stockholms kommunfullmäktige 1985, för Stockholmspartiet",Ideellt arbete,"{'comment': '1981', 'date': '1981'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
46,HarrietAlfons,Översättare,Översättare,Yrke,{'comment': '1940-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
47,AnneMarieAlfvenEriksson,Litteraturkritiker,Litteraturkritiker,Yrke,,
48,KarinAlin,Översättare,"Översättare, litterär agent",Yrke,"{'comment': '1936', 'date': '1936'}",
49,AnnaAlinBosson,Lärare,"Lärare, fransk-nordisk folkhögskolekurs",Yrke,{'comment': 'Ca 1952'},"{'pin': {'lat': 48.6452851, 'lon': 1.819207}, 'place': 'Rambouillet, Frankrike'}"
50,JulieAlixdelaFaye,Lärare,"Danslärare, Kongl. Operans elevskola",Yrke,"{'comment': '1798', 'date': '1798'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
51,AnnastinaAlkman,Konstnär,,Yrke,,
52,ElsaAlkman,Kompositör,Kompositör,Yrke,{'comment': '1930-talet'},"{'pin': {'lat': 58.587745, 'lon': 16.192421}, 'place': 'Norrköping'}"
53,GunhildAlmen,Sakkunnig,"Sakkunnig, bl a 1924 års privatskoleutredning",Ideellt arbete,{'comment': '1920-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
54,InaAlmen,Socialt och filantropiskt arbete,Skolhem för handikappade och polioskadade barn,Ideellt arbete,"{'comment': '1910', 'date': '1910'}","{'pin': {'lat': '59.36296', 'lon': '18.1468'}, 'place': 'Lidingö'}"
55,RuthAlmen,Författare,"Författare, poet, skribent",Yrke,{'comment': '1890-talet'},"{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
56,SofiAlmquist,Författare,"Författare, läroböcker",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
57,AnnaAlmqvist,Bibliotekarie,"Föreståndare, Katarina församlings läsestuga",Yrke,"{'comment': '1903', 'date': '1903'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
58,EsterAlmqvist,Författare,"Författare, illustratör",Yrke,,
59,GertrudAlmqvist,Journalist,Journalist,Yrke,,
60,IngridMargaretaAlmqvist,Idrottare,Spjutkastare,Ideellt arbete,,
61,MargaretaAlstromer,Konstnär,Konstnär,Yrke,{'comment': '1770-talet'},
62,MargitAlthin,Jurist,"Advokat, egen advokatbyrå",Yrke,"{'comment': '1943', 'date': '1943'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
63,AnnCharlotteAlverfors0,Ledamot,"Ledamot, referensgrupp till Statens kulturråd",Ideellt arbete,,
64,FannyAlving,Journalist,"Kåsör, tidningen Idun",Yrke,"{'comment': '1928', 'date': '1928'}",
65,BarbroAlvingBang,Journalist,"Kåsör, journalist, Veckojournalen",Yrke,"{'comment': '1942', 'date': '1942'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
66,ElinAmeen,Författare,Författare,Yrke,"{'comment': '1885', 'date': '1885'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
67,SigridEvaGabriellaAminoff,Konstnär,Konstnär,Yrke,{'comment': '1930-talet'},
68,KerstinAnckers0,Skolgrundare,"Medgrundare, lärare, Skrivskolan",Yrke,"{'comment': '1988', 'date': '1988'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
69,EmmaAndelius0,Skribent,Skribent,Yrke,"{'comment': '1920', 'date': '1920'}",
70,EvaAnden,Jurist,"Advokat, Kvinnliga Juridiska Byrån, Eva Andéns Advokatbyrå",Yrke,"{'comment': '1915', 'date': '1915'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
71,AstridAnderberg,Konstnär,"Keramiker, illustratör, fr o m 1957 vid Astrid Anderberg Keramik",Yrke,"{'comment': '1950', 'date': '1950'}",
72,AstriAndreaKristinaAndersen,Lärare,Pianolärare,Yrke,"{'comment': '1903', 'date': '1903'}",
73,CeciliaAnderson,Entomolog,Entomologisk samlare,Ideellt arbete,"{'comment': '1880', 'date': '1880'}",
74,HedvigHeddaElisabetAnderson,Skolgrundare,"Medgrundare, Privata högre lärarinneseminariet",Yrke,"{'comment': '1899', 'date': '1899'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
75,KerstinAnnekaAnderson,Riksdagsledamot,"Ersättare, riksdagen, för Moderaterna",Yrke,"{'comment': '1976', 'date': '1976'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
76,MariaMarySofiaAnderson,Politisk verksamhet,"Lobbyist, rådgivare i kvinnofrågor",Ideellt arbete,"{'comment': '1944', 'date': '1944'}","{'pin': {'lat': 38.907192, 'lon': -77.036871}, 'place': 'Washington D.C., USA'}"
77,TillieAnderson,Massör,Massör,Yrke,"{'comment': '1909', 'date': '1909'}","{'pin': {'lat': 41.878114, 'lon': -87.629798}, 'place': 'Chicago, USA'}"
78,AlmaAndersson,Predikant,Predikant för Örebro Missionsförening,Yrke,"{'comment': '1892', 'date': '1892'}",
79,AnnaLisaAndersson,Översättare,,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
80,BeritElisabetBibiAndersson,Regissör,Regissör,Yrke,"{'comment': '1990', 'date': '1990'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
81,EbonAndersson,Amanuens,"Amanuens vid Centralförbundet för socialt arbete, CSA",Yrke,"{'comment': '1924', 'date': '1924'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
82,ElsaAndersson,Pilot,"Uppvisningsflygare, fallskärmshoppare, Örebro Flygkompani",Yrke,"{'comment': '1921', 'date': '1921'}","{'pin': {'lat': '59.275263', 'lon': '15.213411'}, 'place': 'Örebro'}"
83,HeddaAndersson,Läkare,,Yrke,"{'comment': '1917', 'date': '1917'}","{'pin': {'lat': '57.022203', 'lon': '14.891754'}, 'place': 'Rottne'}"
84,HildaAndersson0,Missionär,"Missionär, författare, filantrop",Yrke,"{'comment': '1927', 'date': '1927'}","{'pin': {'lat': 31.768319, 'lon': 35.21371}, 'place': 'Jerusalem, Israel'}"
85,IdaKonstantiaAndersson,Socialt och filantropiskt arbete,"Filantropiskt arbete, bl a sommarkolonier och lägerorganisering",Ideellt arbete,,
86,IngridAndersson,Författare,Författare,Yrke,"{'comment': '1975', 'date': '1975'}",
87,JohannaMariaAndersson0,Läkare,"Läkekvinna, vid sidan av modern och ensam",Yrke,,"{'pin': {'lat': '55.604981', 'lon': '13.003822'}, 'place': 'Malmö'}"
88,KarinAndersson,Minister,"Minister, biträdande arbetsmarknadsminister",Yrke,"{'comment': '1979', 'date': '1979'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
89,KajAndersson,Journalist,,Yrke,"{'comment': '1948', 'date': '1948'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
90,MariaAndersson,Socialt och filantropiskt arbete,"Grundare, ägare, Mariahemmet",Yrke,"{'comment': '1891', 'date': '1891'}","{'pin': {'lat': '58.379728', 'lon': '12.324803'}, 'place': 'Vänersborg'}"
91,MaryAndersson,Författare,"Författare, dramatiker",Yrke,"{'comment': '1977', 'date': '1977'}",
92,WendelaLovisaUlrikaAnderssonFalck,Lärare,"Vikarierande lärare, fr o m 1899 ordinarie lärare, Gymnastiska Centralinstitutet",Yrke,"{'comment': '1896', 'date': '1896'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
93,BritaLenaAndersson,Boterska,"Läkekvinna, &quot;klok gumma&quot; med mottagning i Kungsbacka och Göteborg och korrespondenskonsultation",Yrke,{'comment': '1840-talet?'},
94,UlrikaNataliaNathalieTeresiaAnderssonMeijerhelm,Kyrklig verksamhet,"Lärare, söndagsskole- och bibelklasser",Ideellt arbete,,
95,MajaAnderssonWirde,Företagare,"Textilkonstnär, medgrundare och innehavare av Södra Sveriges Kyrkliga Textil (SSKT)",Yrke,"{'comment': '1933', 'date': '1933'}","{'pin': {'lat': '56.723494', 'lon': '15.581131'}, 'place': 'Algutsboda'}"
96,KimAnderzon,Skådespelare,"Skådespelare, frilans",Yrke,"{'comment': '1969', 'date': '1969'}",
97,ElfridaAndree,Musiker,"Dirigent, körledare, konsertarrangör för Göteborgs Arbetareinstitut",Yrke,"{'comment': '1897', 'date': '1897'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
98,AndreaAndreen,Utredare,"Utredare, International Scientific Commission for the Investigation of the Facts Concerning Bacterial Warfare in Korea and China",Yrke,"{'comment': '1952', 'date': '1952'}",
99,GretaEbbaSofiaAndren,Missionär,"Missionär, husmor, Svenska teologiska institutet",Yrke,"{'comment': '1950', 'date': '1950'}","{'pin': {'lat': 31.768319, 'lon': 35.21371}, 'place': 'Jerusalem, Israel'}"
100,KarinAndren,Förlagsanställd,"Förlagsredaktör, SKEAB, senare Verbums förlag",Yrke,"{'comment': '1975', 'date': '1975'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
101,MariaCathrinaAndren,Lärare,Slöjdlärare,Yrke,"{'comment': '1892', 'date': '1892'}","{'pin': {'lat': 53.7944229, 'lon': -1.7519186}, 'place': 'Bradford, Storbritannien'}"
102,IngerBirgittaViolaAndresenBibbiAnder,Tolk,Tolk,Yrke,"{'comment': '1987', 'date': '1987'}","{'pin': {'lat': 40.463667, 'lon': -3.74922}, 'place': 'Spanien'}"
103,KerstinAner0,Politisk verksamhet,"Suppleant, Europarådets parlamentariska församling",Yrke,"{'comment': '1980', 'date': '1980'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
104,HilmaAngeredStrandberg,Författare,,Yrke,,
105,MariaAnholm,Missionär,,Yrke,,
106,JohannaMargaretaAnkarcrona0,Konstnär,Konstnär,Yrke,{'comment': 'Ca 1807'},
107,AnnaLisaAnnell,Sakkunnig,"Ledamot, arbetsgruppen för utarbetande av kriterier för psykiatrisk diagnosticering enligt DSM-systemet",Yrke,{'comment': '1960-talet'},"{'pin': {'lat': 48.856614, 'lon': 2.352222}, 'place': 'Paris, Frankrike'}"
108,EdithAnrep,Jurist,"Jurist, biträdande",Yrke,"{'comment': '1940', 'date': '1940'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
109,ElisabethAnrepNordin,Skolledare,"Rektor, Vårdanstalten i Lund för blinda med komplicerat lyte",Yrke,"{'comment': '1922', 'date': '1922'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
110,SivArb,Konstnär,Konstnär,Yrke,{'comment': '1970-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
111,DagnyArbman,Översättare,,Yrke,"{'comment': '1950', 'date': '1950'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
112,UlricaArfvidsson,Spåkvinna,Spåkvinna,Yrke,{'comment': '1780-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
113,MariaKarinaCarinaViktoriaArideMoltzer,Skulptör,"Skulptör, Buenos Aires, Paris, Stockholm",Yrke,{'comment': '1950-talet'},
114,MarikaArlemanLeander,Textilkonstnär,Textilkonstnär,Yrke,{'comment': '1940-talet'},
115,ElisabethEliseZenaideArnberg,Fotograf,Fotograf,Yrke,"{'comment': '1867', 'date': '1867'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
116,MajVilmaArnell,Konstnär,Konstnär,Yrke,"{'comment': '1940', 'date': '1940'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
117,SigridArnoldson,Lärare,Sångpedagog,Yrke,"{'comment': '1917', 'date': '1917'}","{'pin': {'lat': 48.208174, 'lon': 16.373819}, 'place': 'Wien, Österrike'}"
118,StinaAronson,Författare,,Yrke,,
119,BedaLevinaAronssonGalle,Konstnär,"Halmslöjdare, frilans, Ärtemarks hemslöjdsförening och Konst &amp; Halmslöjd, Galle &amp; Suttner (senare Ärtingeslöjd)",Yrke,{'comment': '1890-talet'},
120,SofiaLovisaLouiseArosenius,Författare,Författare,Yrke,"{'comment': '1914', 'date': '1914'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
121,LillyHannaTurinnaArrheniusBeyer,Författare,Författare,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
122,AgnesArvidson,Farmaceut,"Privat apotekare med privilegium, 1928–1933 Norsjö, 1933–1942 Mellerud",Yrke,"{'comment': '1928', 'date': '1928'}",
123,LillemorMajArvidsson,Styrelseledamot,"Styrelseledamot, högskolan i Växjö",Ideellt arbete,,"{'pin': {'lat': 56.879004, 'lon': 14.805852}, 'place': 'Växjö'}"
124,GretaArwidsson,Forskare,"Professor emerita, forskare, författare",Yrke,"{'comment': '1973', 'date': '1973'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
125,IngegerdAschan,Lärare,Scenskolelärare,Yrke,"{'comment': '1973', 'date': '1973'}","{'pin': {'lat': '55.604981', 'lon': '13.003822'}, 'place': 'Malmö'}"
126,MargaretavonAscheberg0,Godsägare,Godsägare,Yrke,"{'comment': '1700', 'date': '1700'}","{'pin': {'lat': 55.855, 'lon': 14.145556}, 'place': 'Vittskövle'}"
127,KarnaAsker,Lärare,"Lärare, fr o m 1935 huvudlärare i textil, Slöjdföreningens skola",Yrke,"{'comment': '1920', 'date': '1920'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
128,EivorAsklin,Generalsekreterare,"Generalsekreterare, Riksförbundet Sveriges lottakårer",Yrke,"{'comment': '1967', 'date': '1967'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
129,LisAsklund,Reporter,"Reporter på TV1 för bland annat programmen *”Fokus*”, *”Gammal i Sverige*”, *”Människa i närbild*”, *”Sveriges Magasin*”, *”I stället för sjukhus: Fountain House*",Yrke,"{'comment': '1968', 'date': '1968'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
130,CatharinaAsplund,Kyrklig verksamhet,Väckelsekristen andlig ledare,Ideellt arbete,"{'comment': '1736', 'date': '1736'}","{'pin': {'lat': 63.522222, 'lon': 22.530556}, 'place': 'Nykarleby, Finland'}"
131,MariaAspman,Skolledare,"Rektor, Stockholms högre folkskola för kvinnlig utbildning",Yrke,"{'comment': '1920', 'date': '1920'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
132,IngridAtterberg,Formgivare,"Formgivare, keramiker, egen ateljé",Yrke,"{'comment': '1970', 'date': '1970'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
133,EbbaGustavaAugustaAtterbom,Översättare,Översättare,Yrke,{'comment': '1890-talet'},
134,LovisaAugusti,"Sångare, skådespelare","Operasångare, skådespelare, fr o m 1773 svenska hovet och Kungliga Teatern",Yrke,"{'comment': '1766', 'date': '1766'}",
135,ValborgAulin,Lärare,Musiklärare,Yrke,,
136,JuliaAurelius,Kyrklig verksamhet,Initiativtagare till det första prästfrumötet,Yrke,"{'comment': '1929', 'date': '1929'}","{'pin': {'lat': '58.410807', 'lon': '15.621373'}, 'place': 'Linköping'}"
137,SigneAurell,Författare,Poet,Yrke,{'comment': '?'},"{'pin': {'lat': 56.3815355, 'lon': 13.99294129}, 'place': 'Osby'}"
138,CarinRagnhildAx,Författare,Författare,Yrke,,"{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
139,SunAxelsson,Litteraturkritiker,,Yrke,,
140,MarieLouiseBachman,Styrelseledamot,"Styrelseledamot, Svenskt biografiskt lexikon (SBL)",Ideellt arbete,,
141,BarbroBackberger,Riksdagsledamot,"Suppleant, Vänsterpartiet kommunisterna (VPK)",Yrke,"{'comment': '1973', 'date': '1973'}",
142,MonicaAstridStensdotterBackstrom,Lärare,"Lärare, Högskolan i Kalmar (Linnéuniversitet)",Yrke,"{'comment': '2003', 'date': '2003'}","{'pin': {'lat': 56.7452, 'lon': 15.906200000000013}, 'place': 'Nybro'}"
143,EvaBagge,Konstnär,Konstnär,Yrke,"{'comment': '1898', 'date': '1898'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
144,IngaBagge0,Konstnär,Konstnär,Yrke,{'comment': '1950-talet'},
145,LouisevonBahr,Sjukgymnast,"Sjukgymnast, egen praktik, Göteborg och Djursholm",Yrke,"{'comment': '1905', 'date': '1905'}",
146,GunillavonBahr0,Rektor,"Rektor, Kungliga Musikhögskolan",Yrke,"{'comment': '2000', 'date': '2000'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
147,JuliaCharlottaHenrikavonBahr,Kassör,"Kassaförvaltare, Göteborgs kvinnohem",Ideellt arbete,,"{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
148,ElisabethvonBahr,Socialt och filantropiskt arbete,"Socialt och filantropiskt arbete, bl a Stiftelsen Upsala Myror, medgrundare, Elisabethhemmet 1911",Ideellt arbete,"{'comment': '1902', 'date': '1902'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
149,EvaVilhelminaJuliavonBahr,Socialt och filantropiskt arbete,Hjälparbete för nödställda i Finland och Norge,Ideellt arbete,"{'comment': '1939', 'date': '1939'}",
150,VivicaBandler,Författare,Författare,Yrke,,
151,AnnaBaner,Hovdam,Hovjungfru hos drottning Katarina Stenbock,Yrke,,"{'pin': {'lat': '59.527589', 'lon': '16.238346'}, 'place': 'Strömsholm'}"
152,SigridBaner,Socialt och filantropiskt arbete,Socialt och filantropiskt arbete,Ideellt arbete,,
153,MarieBaptiste,"Sångare, skådespelare","Sångare, skådespelare, franska skådespelartruppen och vid hovet/Drottningholmsteatern",Yrke,"{'comment': '1756 – 1771, 1776'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
154,BritaElisabetGabriellaBarnekow,Forskare,Sammanställde ett lexikon över kvinnliga konstnärer t o m 1830-talet,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
155,SigneMagdalenaBarth,Skolgrundare,"Grundare, föreståndare, lärare, Signe Barths målarskola",Yrke,"{'comment': '1940', 'date': '1940'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
156,ElisabethBastholm,Textilkonstnär,"Textilkonstnär, Licium",Yrke,"{'comment': '1916', 'date': '1916'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
